Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2523666;Quartucciu;Quartucciu;Quartuccio,Quartucciu;P;PPLA3;IT;Italy;;14;CA;092105;;11347;16;15;Europe/Rome;2014-04-13;Italy;39.25262, 9.17764
2523821;Petralia Sottana;Petralia Sottana;Petralia Sottana,Pitralia Suttana,Pitralìa Suttana,Sottana Petralia;P;PPLA3;IT;Italy;;15;PA;082056;;2738;1000;965;Europe/Rome;2014-04-13;Italy;37.80919, 14.09293
2523838;Pentone;Pentone;Pentone;P;PPLA3;IT;Italy;;03;CZ;079092;;1163;648;644;Europe/Rome;2014-01-11;Italy;38.98579, 16.5825
2523861;Pau;Pau;Pau;P;PPLA3;IT;Italy;;14;OR;095040;;299;315;304;Europe/Rome;2014-01-11;Italy;39.79167, 8.80222
2523872;Partanna;Partanna;Partanna;P;PPLA3;IT;Italy;;15;TP;081015;;10200;414;409;Europe/Rome;2014-04-13;Italy;37.7268, 12.88917
2524003;Nizza di Sicilia;Nizza di Sicilia;Nizza di Sicilia;P;PPLA3;IT;Italy;;15;ME;083061;;3615;9;20;Europe/Rome;2014-04-13;Italy;37.99081, 15.40956
2524050;Morgongiori;Morgongiori;Morgongiori;P;PPLA3;IT;Italy;;14;OR;095030;;775;351;362;Europe/Rome;2014-04-13;Italy;39.7463, 8.77041
2524078;Montallegro;Montallegro;Montallegro,Muntallegru;P;PPLA3;IT;Italy;;15;AG;084024;;2327;100;119;Europe/Rome;2014-04-13;Italy;37.39121, 13.35179
2524086;Mongrassano;Mongrassano;Mongrassano,Mungrasana;P;PPLA3;IT;Italy;;03;CS;078080;;563;540;517;Europe/Rome;2014-04-13;Italy;39.52644, 16.11225
2524096;Monastir;Monastir;Monasteri Sardenias,Monastir,Μοναστήρι Σαρδηνίας;P;PPLA3;IT;Italy;;14;SU;111041;;4246;83;80;Europe/Rome;2018-02-10;Italy;39.3836, 9.04445
2524116;Mogoro;Mogoro;Mogoro;P;PPLA3;IT;Italy;;14;OR;095029;;4190;132;142;Europe/Rome;2014-04-13;Italy;39.68415, 8.77661
2524143;Milo;Milo;Milo,Milu;P;PPLA3;IT;Italy;;15;CT;087026;;619;720;736;Europe/Rome;2014-04-13;Italy;37.7245, 15.11554
